HomeCornersAvg,AwayCornersAvg,HomeYellowAvg,AwayYellowAvg,CornersOver9_5,CardsOver4_5
25,4.04,4.2,59,0,0
33,3.52,5.18,67,1,0
27,3.79,4.04,75,0,1
33,5.13,4.36,83,1,1
35,4.46,6.29,71,1,0
33,4.89,4.45,75,1,1
25,4.91,4.2,77,0,1
34,6.67,5.26,88,1,1
21,5.0,3.67,73,0,0
28,3.79,5.0,75,1,1
28,3.92,3.89,67,1,0
34,3.83,5.35,88,1,1
22,4.42,3.14,71,0,0
24,4.09,5.88,73,0,1
34,5.75,4.38,86,1,1
23,3.1,5.87,71,0,0
26,3.56,4.46,59,0,0
34,3.79,5.82,71,1,0
27,6.3,5.48,82,1,1
28,5.19,5.71,67,1,0
24,3.42,6.0,88,0,1
24,3.79,4.29,46,0,0
24,5.13,7.63,83,0,1
24,5.08,3.67,71,0,0
35,4.04,4.14,64,1,0
28,3.93,5.04,57,1,0
34,4.57,4.29,75,1,1
27,5.69,5.96,97,1,1
28,4.09,3.96,73,1,0
35,3.58,4.86,79,1,1
33,4.08,5.18,79,1,1
26,4.96,4.12,75,0,1
25,4.08,4.12,79,0,1
35,3.93,6.63,63,1,0
21,3.44,5.57,88,0,1
24,5.69,5.96,86,0,1
26,6.11,4.46,68,1,0
24,4.86,5.88,71,0,0
28,4.36,6.11,64,1,0
27,4.88,2.78,71,1,0
33,3.93,4.45,59,1,0
27,5.0,5.59,74,1,1
27,4.93,4.81,70,1,0
24,5.21,4.88,63,0,0
25,4.86,5.0,71,0,0
27,4.93,5.11,78,1,1
27,7.48,4.07,84,1,1
35,5.44,5.49,84,1,1
28,5.0,4.86,77,1,1
28,5.36,5.29,80,1,1
26,4.21,4.96,61,0,0
25,5.18,3.76,82,0,1
25,5.44,5.32,94,0,1
34,5.82,4.91,76,1,1
27,4.85,4.41,65,1,0
27,5.46,4.52,54,1,0
23,3.77,3.87,59,0,0
25,4.36,3.44,80,0,1
24,3.85,4.0,65,0,0
24,5.89,4.63,81,0,1
26,5.39,5.27,82,1,1
23,4.21,5.13,61,0,0
33,3.78,5.12,74,1,1
27,4.78,5.26,70,1,0
28,4.78,5.43,85,1,1
35,5.74,5.4,81,1,1
24,4.96,4.13,75,0,1
34,5.13,5.06,79,1,1
24,4.08,6.08,79,0,1
33,4.52,5.18,81,1,1
21,4.46,3.67,77,0,1
27,6.17,5.52,71,1,0
26,6.83,4.12,83,1,1
34,4.09,5.29,73,1,0
27,6.79,4.78,93,1,1
33,5.09,5.27,74,1,1
34,5.08,4.79,88,1,1
24,4.79,5.46,68,0,0
28,5.45,5.29,67,1,0
34,4.91,6.18,45,1,0
24,4.55,4.25,67,0,0
27,5.71,5.52,79,1,1
35,4.89,4.86,75,1,1
27,3.92,4.52,67,0,0
35,5.48,4.54,71,1,0
25,5.7,3.68,61,0,0
24,4.91,6.04,45,0,0
25,6.37,2.92,74,1,0
24,5.26,3.92,82,0,1
35,5.59,3.09,85,1,1
34,4.81,5.82,85,1,1
27,4.58,5.41,63,1,0
27,4.93,4.0,78,1,1
35,4.82,5.0,79,1,1
24,4.34,4.58,74,0,0
27,5.46,4.52,71,1,0
35,4.76,5.63,68,1,0
27,5.71,5.07,79,1,1
22,5.18,5.09,82,0,1
32,4.43,4.59,48,1,0
27,4.83,4.52,67,1,0
28,5.12,4.32,76,1,1
27,4.92,2.78,83,1,1
24,4.91,4.79,68,0,0
27,3.92,5.85,67,0,0
25,4.93,5.68,68,0,0
26,4.85,4.54,56,0,0
25,6.73,5.08,81,1,1
24,4.97,4.38,77,0,1
24,5.43,4.88,76,0,1
24,5.44,5.88,84,0,1
22,4.29,4.5,58,0,0
27,4.27,5.19,58,0,0
27,3.62,5.33,54,0,0
34,3.93,4.91,59,1,0
33,4.21,5.33,61,1,0
27,5.38,4.48,77,1,1
24,4.93,5.88,78,0,1
33,3.61,5.76,78,1,1
28,5.77,3.71,64,1,0
27,5.08,5.26,88,1,1
24,4.81,5.21,85,0,1
27,4.36,4.33,80,1,1
33,4.06,5.85,79,1,1
25,4.66,3.68,80,0,1
